Number,Code,Sample,CLDR Short Name,Keywords
1,U+1F600,,grinning face,face | grin | grinning face
2,U+1F603,,grinning face with big eyes,face | grinning face with big eyes | mouth | open | smile
3,U+1F604,,grinning face with smiling eyes,eye | face | grinning face with smiling eyes | mouth | open | smile
4,U+1F601,,beaming face with smiling eyes,beaming face with smiling eyes | eye | face | grin | smile
5,U+1F606,,grinning squinting face,face | grinning squinting face | laugh | mouth | satisfied | smile
6,U+1F605,,grinning face with sweat,cold | face | grinning face with sweat | open | smile | sweat
7,U+1F923,,rolling on the floor laughing,face | floor | laugh | rolling | rolling on the floor laughing
8,U+1F602,,face with tears of joy,face | face with tears of joy | joy | laugh | tear
9,U+1F642,,slightly smiling face,face | slightly smiling face | smile
10,U+1F643,,upside-down face,face | upside-down
11,U+1F609,,winking face,face | wink | winking face
12,U+1F60A,,smiling face with smiling eyes,blush | eye | face | smile | smiling face with smiling eyes
13,U+1F607,,smiling face with halo,angel | face | fantasy | halo | innocent | smiling face with halo
14,U+1F970,,smiling face with hearts,adore | crush | hearts | in love | smiling face with hearts
15,U+1F60D,,smiling face with heart-eyes,eye | face | love | smile | smiling face with heart-eyes
16,U+1F929,,star-struck,eyes | face | grinning | star | star-struck | starry-eyed
17,U+1F618,,face blowing a kiss,face | face blowing a kiss | kiss
18,U+1F617,,kissing face,face | kiss | kissing face
19,U+263A,,smiling face,face | outlined | relaxed | smile | smiling face
20,U+1F61A,,kissing face with closed eyes,closed | eye | face | kiss | kissing face with closed eyes
21,U+1F619,,kissing face with smiling eyes,eye | face | kiss | kissing face with smiling eyes | smile
22,U+1F60B,,face savoring food,delicious | face | face savoring food | savouring | smile | yum
23,U+1F61B,,face with tongue,face | face with tongue | tongue
24,U+1F61C,,winking face with tongue,eye | face | joke | tongue | wink | winking face with tongue
25,U+1F92A,,zany face,eye | goofy | large | small | zany face
26,U+1F61D,,squinting face with tongue,eye | face | horrible | squinting face with tongue | taste | tongue
27,U+1F911,,money-mouth face,face | money | money-mouth face | mouth
28,U+1F917,,hugging face,face | hug | hugging
29,U+1F92D,,face with hand over mouth,face with hand over mouth | whoops | shock | sudden realization | surprise
30,U+1F92B,,shushing face,quiet | shush | shushing face
31,U+1F914,,thinking face,face | thinking
32,U+1F910,,zipper-mouth face,face | mouth | zipper | zipper-mouth face
33,U+1F928,,face with raised eyebrow,distrust | face with raised eyebrow | skeptic | disapproval | disbelief | mild surprise | scepticism
34,U+1F610,,neutral face,deadpan | face | meh | neutral
35,U+1F611,,expressionless face,expressionless | face | inexpressive | meh | unexpressive
36,U+1F636,,face without mouth,face | face without mouth | mouth | quiet | silent
37,U+1F60F,,smirking face,face | smirk | smirking face
38,U+1F612,,unamused face,face | unamused | unhappy
39,U+1F644,,face with rolling eyes,eyeroll | eyes | face | face with rolling eyes | rolling
40,U+1F62C,,grimacing face,face | grimace | grimacing face
41,U+1F925,,lying face,face | lie | lying face | pinocchio
42,U+1F60C,,relieved face,face | relieved
43,U+1F614,,pensive face,dejected | face | pensive
44,U+1F62A,,sleepy face,face | sleep | sleepy face
45,U+1F924,,drooling face,drooling | face
46,U+1F634,,sleeping face,face | sleep | sleeping face | zzz
47,U+1F637,,face with medical mask,cold | doctor | face | face with medical mask | mask | sick
48,U+1F912,,face with thermometer,face | face with thermometer | ill | sick | thermometer
49,U+1F915,,face with head-bandage,bandage | face | face with head-bandage | hurt | injury
50,U+1F922,,nauseated face,face | nauseated | vomit
51,U+1F92E,,face vomiting,face vomiting | sick | vomit
52,U+1F927,,sneezing face,face | gesundheit | sneeze | sneezing face
53,U+1F975,,hot face,feverish | heat stroke | hot | hot face | red-faced | sweating
54,U+1F976,,cold face,blue-faced | cold | cold face | freezing | frostbite | icicles
55,U+1F974,,woozy face,dizzy | intoxicated | tipsy | uneven eyes | wavy mouth | woozy face
56,U+1F635,,dizzy face,dizzy | face
57,U+1F92F,,exploding head,exploding head | mind blown | shocked
58,U+1F920,,cowboy hat face,cowboy | cowgirl | face | hat
59,U+1F973,,partying face,celebration | hat | horn | party | partying face
60,U+1F60E,,smiling face with sunglasses,bright | cool | face | smiling face with sunglasses | sun | sunglasses
61,U+1F913,,nerd face,face | geek | nerd
62,U+1F9D0,,face with monocle,face with monocle | stuffy | wealthy
63,U+1F615,,confused face,confused | face | meh
64,U+1F61F,,worried face,face | worried
65,U+1F641,,slightly frowning face,face | frown | slightly frowning face
66,U+2639,,frowning face,face | frown | frowning face
67,U+1F62E,,face with open mouth,face | face with open mouth | mouth | open | sympathy
68,U+1F62F,,hushed face,face | hushed | stunned | surprised
69,U+1F632,,astonished face,astonished | face | shocked | totally
70,U+1F633,,flushed face,dazed | face | flushed
71,U+1F97A,,pleading face,begging | mercy | pleading face | puppy eyes
72,U+1F626,,frowning face with open mouth,face | frown | frowning face with open mouth | mouth | open
73,U+1F627,,anguished face,anguished | face
74,U+1F628,,fearful face,face | fear | fearful | scared
75,U+1F630,,anxious face with sweat,anxious face with sweat | blue | cold | face | rushed | sweat
76,U+1F625,,sad but relieved face,disappointed | face | relieved | sad but relieved face | whew
77,U+1F622,,crying face,cry | crying face | face | sad | tear
78,U+1F62D,,loudly crying face,cry | face | loudly crying face | sad | sob | tear
79,U+1F631,,face screaming in fear,face | face screaming in fear | fear | munch | scared | scream
80,U+1F616,,confounded face,confounded | face
81,U+1F623,,persevering face,face | persevere | persevering face
82,U+1F61E,,disappointed face,disappointed | face
83,U+1F613,,downcast face with sweat,cold | downcast face with sweat | face | sweat
84,U+1F629,,weary face,face | tired | weary
85,U+1F62B,,tired face,face | tired
86,U+1F971,,⊛ yawning face,bored | tired | yawn | yawning face
87,U+1F624,,face with steam from nose,face | face with steam from nose | triumph | won
88,U+1F621,,pouting face,angry | face | mad | pouting | rage | red
89,U+1F620,,angry face,angry | face | mad
90,U+1F92C,,face with symbols on mouth,face with symbols on mouth | swearing | cursing
91,U+1F608,,smiling face with horns,face | fairy tale | fantasy | horns | smile | smiling face with horns
92,U+1F47F,,angry face with horns,angry face with horns | demon | devil | face | fantasy | imp
93,U+1F480,,skull,death | face | fairy tale | monster | skull
94,U+2620,,skull and crossbones,crossbones | death | face | monster | skull | skull and crossbones
95,U+1F4A9,,pile of poo,dung | face | monster | pile of poo | poo | poop
96,U+1F921,,clown face,clown | face
97,U+1F479,,ogre,creature | face | fairy tale | fantasy | monster | ogre | troll
98,U+1F47A,,goblin,creature | face | fairy tale | fantasy | goblin | monster
99,U+1F47B,,ghost,creature | face | fairy tale | fantasy | ghost | monster
100,U+1F47D,,alien,alien | creature | extraterrestrial | face | fantasy | ufo
101,U+1F47E,,alien monster,alien | creature | extraterrestrial | face | monster | ufo
102,U+1F916,,robot,face | monster | robot
103,U+1F63A,,grinning cat,cat | face | grinning | mouth | open | smile
104,U+1F638,,grinning cat with smiling eyes,cat | eye | face | grin | grinning cat with smiling eyes | smile
105,U+1F639,,cat with tears of joy,cat | cat with tears of joy | face | joy | tear
106,U+1F63B,,smiling cat with heart-eyes,cat | eye | face | heart | love | smile | smiling cat with heart-eyes
107,U+1F63C,,cat with wry smile,cat | cat with wry smile | face | ironic | smile | wry
108,U+1F63D,,kissing cat,cat | eye | face | kiss | kissing cat
109,U+1F640,,weary cat,cat | face | oh | surprised | weary
110,U+1F63F,,crying cat,cat | cry | crying cat | face | sad | tear
111,U+1F63E,,pouting cat,cat | face | pouting
112,U+1F648,,see-no-evil monkey,evil | face | forbidden | monkey | see | see-no-evil monkey
113,U+1F649,,hear-no-evil monkey,evil | face | forbidden | hear | hear-no-evil monkey | monkey
114,U+1F64A,,speak-no-evil monkey,evil | face | forbidden | monkey | speak | speak-no-evil monkey
115,U+1F48B,,kiss mark,kiss | kiss mark | lips
116,U+1F48C,,love letter,heart | letter | love | mail
117,U+1F498,,heart with arrow,arrow | cupid | heart with arrow
118,U+1F49D,,heart with ribbon,heart with ribbon | ribbon | valentine
119,U+1F496,,sparkling heart,excited | sparkle | sparkling heart
120,U+1F497,,growing heart,excited | growing | growing heart | nervous | pulse
121,U+1F493,,beating heart,beating | beating heart | heartbeat | pulsating
122,U+1F49E,,revolving hearts,revolving | revolving hearts
123,U+1F495,,two hearts,love | two hearts
124,U+1F49F,,heart decoration,heart | heart decoration
125,U+2763,,heart exclamation,exclamation | heart exclamation | mark | punctuation
126,U+1F494,,broken heart,break | broken | broken heart
127,U+2764,,red heart,heart | red heart
128,U+1F9E1,,orange heart,orange | orange heart
129,U+1F49B,,yellow heart,yellow | yellow heart
130,U+1F49A,,green heart,green | green heart
131,U+1F499,,blue heart,blue | blue heart
132,U+1F49C,,purple heart,purple | purple heart
133,U+1F90E,,⊛ brown heart,brown | heart
134,U+1F5A4,,black heart,black | black heart | evil | wicked
135,U+1F90D,,⊛ white heart,heart | white
136,U+1F4AF,,hundred points,100 | full | hundred | hundred points | score
137,U+1F4A2,,anger symbol,anger symbol | angry | comic | mad
138,U+1F4A5,,collision,boom | collision | comic
139,U+1F4AB,,dizzy,comic | dizzy | star
140,U+1F4A6,,sweat droplets,comic | splashing | sweat | sweat droplets
141,U+1F4A8,,dashing away,comic | dash | dashing away | running
142,U+1F573,,hole,hole
