ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10150,CPLT,2010,100,Lecture,4,Paul Cantor,TuTh 12:30PM - 1:45PM,Claude Moore Nursing Educ G120,History of European Literature I,,Open,16,43,0,"Surveys European literature from antiquity to the Renaissance, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
10151,CPLT,2010,101,Discussion,0,Julia Fisher,Th 3:30PM - 4:45PM,New Cabell Hall 489,History of European Literature I,,Open,5,8,0,"Surveys European literature from antiquity to the Renaissance, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
10153,CPLT,2010,102,Discussion,0,Julia Fisher,Th 5:00PM - 6:15PM,Wilson Hall 244,History of European Literature I,,Open,3,8,0,"Surveys European literature from antiquity to the Renaissance, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
10152,CPLT,2010,103,Discussion,0,Ankita Chakrabarti,Th 2:00PM - 3:15PM,Wilson Hall 238,History of European Literature I,,Open,7,8,0,"Surveys European literature from antiquity to the Renaissance, with emphasis on recurring themes, the texts themselves, and the meaning of literature in broader historical contexts."
20266,CPLT,3590,1,Lecture,3,Jeffrey Grossman,TuTh 12:30PM - 1:45PM,New Cabell Hall 383,Topics in Comparative Literature,Faust,Open,1,14,0,"Changing topics with explore Comparative Literature topics, such as theory, genre, periods, or major authors with an international impact."
19378,CPLT,3710,1,Seminar,3,Lorna Martens,TuTh 11:00AM - 12:15PM,Cocke Hall 101,Kafka and His Doubles,,Open,10,14,1,"Introduction to the work of Franz Kafka, with comparisons to the literary tradition he worked with and the literary tradition he formed."
19379,CPLT,3740,1,Seminar,3,Lorna Martens,TuTh 2:00PM - 3:15PM,Gilmer Hall 225,Narratives of Childhood,,Open,4,16,0,Childhood autobiography and childhood narrative from Romanticism to the present.
10155,CPLT,4998,1,Independent Study,3,Paul Cantor,TBA,TBA,Fourth Year Thesis,,Open,0,10,0,"Two-semester course in which the student prepares and writes a thesis with the guidance of a faculty member. After being accepted to the distinguished majors program, the student should decide on a thesis topic and find an advisor by the end of the third year. In the fall semester (497), the student engages in an extended course of reading and produces at least 20 pages of written text; in the spring (498), the student completes and submits the thesis."
18718,ENAM,3180,1,Lecture,3,Sylvia Chong,MoWe 3:30PM - 4:45PM,New Cabell Hall 323,Introduction to Asian American Studies,,Open,14,18,2,"An interdisciplinary introduction to the culture and history of Asians and Pacific Islanders in America. Examines ethnic communities such as Chinese, Japanese, Filipino, Korean, Asian Indian, and Native Hawaiian, through themes such as immigration, labor, cultural production, war, assimilation, and politics. Texts are drawn from genres such as legal cases, short fiction, musicals, documentaries, visual art, and drama.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18719,ENAM,3559,1,Lecture,3,Carmen Lamas,TuTh 9:30AM - 10:45AM,New Cabell Hall 389,New Course in American Literature,Hemispheric Latinx Lit,Open,8,14,0,"This course provides the opportunity to offer a new course in the subject of American Literature. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
21656,ENAM,3559,2,Lecture,3,Timothy Griffiths,TuTh 9:30AM - 10:45AM,Minor Hall 130,New Course in American Literature,Sex Politics in Af-Am Lit,Open,0,30,0,"This course provides the opportunity to offer a new course in the subject of American Literature. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19381,ENAM,3750,1,Lecture,3,Emily Ogden,TuTh 2:00PM - 3:15PM,Nau Hall 211,Sex and Sentiment,,Wait List,60,60,11,"Focuses on the rise of sentimental novels and sensational novels between the American Revolution and the Civil War. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18707,ENAM,3880,100,Lecture,3,Jennifer Greeson,MoWe 1:00PM - 1:50PM,Minor Hall 125,Literature of the South,,Open,117,119,4,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18708,ENAM,3880,101,Discussion,0,Aaron Colton,We 2:00PM - 2:50PM,New Cabell Hall 395,Literature of the South,,Wait List,12,12,2,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18709,ENAM,3880,102,Discussion,0,Aaron Colton,We 3:30PM - 4:20PM,New Cabell Hall 027,Literature of the South,,Wait List,12,12,1,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18710,ENAM,3880,103,Discussion,0,Jiayuan Huang,We 3:30PM - 4:20PM,Nau Hall 242,Literature of the South,,Wait List,12,12,0,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18711,ENAM,3880,104,Discussion,0,Jiayuan Huang,We 5:00PM - 5:50PM,New Cabell Hall 211,Literature of the South,,Wait List,12,12,1,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18712,ENAM,3880,105,Discussion,0,Sarah Winstein-Hibbs,Th 11:00AM - 11:50AM,New Cabell Hall 183,Literature of the South,,Wait List,12,12,1,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18713,ENAM,3880,106,Discussion,0,Sarah Winstein-Hibbs,Th 12:30PM - 1:20PM,Maury Hall 113,Literature of the South,,Wait List,12,12,0,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18714,ENAM,3880,107,Discussion,0,Simon Sarkodie,Th 3:30PM - 4:20PM,New Cabell Hall 407,Literature of the South,,Open,11,12,1,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18715,ENAM,3880,108,Discussion,0,Julianne McCobin,Th 5:00PM - 5:50PM,New Cabell Hall 068,Literature of the South,,Wait List,12,12,0,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18716,ENAM,3880,109,Discussion,0,Julianne McCobin,Fr 10:00AM - 10:50AM,Dell 1 104,Literature of the South,,Open,11,12,0,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18717,ENAM,3880,110,Discussion,0,Simon Sarkodie,Fr 11:00AM - 11:50AM,The Rotunda Room 152,Literature of the South,,Open,11,12,0,"Analyzes selected works of poetry and prose by major Southern writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14454,ENAM,4500,1,Seminar,3,Mark Edmundson,TuTh 12:30PM - 1:45PM,Bryan Hall 312,Advanced Studies in American Literature,Major Works of 19th-C Am. Lit.,Wait List,18,18,7,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14980,ENAM,4500,2,Seminar,3,Jerome McGann,TuTh 12:30PM - 1:45PM,New Cabell Hall 407,Advanced Studies in American Literature,Reimagining the World,Wait List,9,9,0,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14974,ENAM,9500,1,Seminar,3,Jerome McGann,TuTh 3:30PM - 4:45PM,New Cabell Hall 207,Seminar in American Literature,The American Scene,Open,3,14,0,"Topics range from the colonial period to the cultural influence of pragmatism.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14968,ENCR,4500,1,Seminar,3,Susan Fraiman,TuTh 2:00PM - 3:15PM,Bryan Hall 310,Advanced Studies in Literary Criticism,Feminist Theory,Open,17,18,4,"Limited enrollment.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18720,ENCR,4500,2,Seminar,3,Edward Barnaby,We 3:30PM - 6:00PM,Maury Hall 110,Advanced Studies in Literary Criticism,Vis Cult in Lit Drama & Film,Closed,7,9,0,"Limited enrollment.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13770,ENCR,5650,1,Seminar,3,David Vander Meulen,MoWe 11:00AM - 12:15PM,Contact Department,Books as Physical Objects,,Open,5,12,0,"Surveys bookmaking over the past five centuries. Emphasizes analysis and description of physical features and consideration of how a text is affected by the physical conditions of its production.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12357,ENCR,8100,1,Lecture,3,Andrew Stauffer,Fr 10:00AM - 12:30PM,Bryan Hall 233,Introduction to Literary Research,,Open,0,14,0,"Introduces UVa's research resources and the needs and opportunities for their use. The library and its holdings are explored through a series of practical problems drawn from a wide range of literary subjects and periods. Required of all degree candidates in the M.A. and Ph.D. programs.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
21292,ENCR,8100,2,Lecture,3,Andrew Stauffer,We 10:00AM - 12:30PM,TBA,Introduction to Literary Research,,Closed,0,0,0,"Introduces UVa's research resources and the needs and opportunities for their use. The library and its holdings are explored through a series of practical problems drawn from a wide range of literary subjects and periods. Required of all degree candidates in the M.A. and Ph.D. programs.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18721,ENCR,8559,1,Lecture,3,Stephen Cushman,We 10:00AM - 12:30PM,Bryan Hall 233,New Course in Criticism,The Bible,Open,10,14,0,"This course provides the opportunity to offer a new course in the subject of Criticism.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18722,ENCR,8670,1,Seminar,3,Susan Fraiman,TuTh 11:00AM - 12:15PM,Bryan Hall 330,Feminist Theory,,Open,12,14,0,"An introduction to American feminist theory its major concerns, historical development, array of methodologies, and formative debates.  Divergent theoretical and critical texts on gender/sexuality are juxtaposed with primary materials ranging from early novels to contemporary movies.  Likely topics include queer theory, transnational feminism, feminist cultural studies, the gendering of race, and feminist approaches to film.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14873,ENCW,2300,1,Seminar,3,Sean Shearer,MoWe 6:30PM - 7:45PM,Bryan Hall 312,Poetry Writing,,Open,9,10,0,"An introduction to the craft of writing poetry, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14874,ENCW,2300,2,Seminar,3,Sasha Prevost,TuTh 9:30AM - 10:45AM,Bryan Hall 332,Poetry Writing,,Open,11,12,1,"An introduction to the craft of writing poetry, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14875,ENCW,2300,3,Seminar,3,Anna Tomlinson,MoWe 5:00PM - 6:15PM,Bryan Hall 330,Poetry Writing,,Open,7,10,0,"An introduction to the craft of writing poetry, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14876,ENCW,2300,4,Seminar,3,Michaela Cowgill,MoWe 5:00PM - 6:15PM,Bryan Hall 332,Poetry Writing,,Open,6,10,0,"An introduction to the craft of writing poetry, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14877,ENCW,2300,5,Seminar,3,Robert Elliott,MoWeFr 10:00AM - 10:50AM,Bryan Hall 332,Poetry Writing,,Open,10,12,1,"An introduction to the craft of writing poetry, with relevant readings in the genre.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
